property_type,sector,price,area,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,servant room,pooja room,store room,others,furnishing_type,luxury_score
flat,7.0,0.45,900.0,2,2,1,4.0,Relatively New,1066.350710900474,0,0,0,0,0,2,28
flat,5.0,0.5,650.0,2,2,1,1.0,Old Property,770.1421800947868,0,0,0,0,0,0,37
flat,48.0,0.4,595.0,2,2,3,12.0,New Property,704.9763033175356,0,0,0,0,0,2,36
flat,61.0,1.47,1200.0,2,2,2,2.0,Under Construction,1421.8009478672986,1,0,0,0,0,2,76
flat,92.0,0.7,1345.0,2,2,3,5.0,Under Construction,1185.022026431718,1,0,0,0,0,2,0
flat,36.0,0.41,654.0,2,2,3,3.0,Relatively New,654.0,0,0,0,0,0,2,0
flat,102.0,2.0,1500.0,3,3,3,5.0,New Property,1321.5859030837005,0,0,0,0,0,2,0
flat,104.0,1.8,2290.0,3,4,3,14.0,New Property,2713.270142180095,0,0,0,0,0,2,60
flat,88.0,1.1,1350.0,2,4,3,2.0,Under Construction,1350.0,1,0,0,0,0,2,58
flat,78.0,4.75,2813.0,3,3,2,31.0,Under Construction,2813.0,0,1,0,0,0,2,100
flat,81.0,0.96,983.0,2,2,2,1.0,Under Construction,1273.696682464455,0,0,0,0,0,2,49
flat,48.0,0.29,519.0,2,2,1,4.0,Relatively New,614.9289099526067,0,0,0,0,0,2,44
flat,79.0,1.35,1945.0,3,3,3,4.0,Relatively New,2304.5023696682465,0,0,0,0,0,2,0
flat,33.0,0.95,1385.0,2,2,3,3.0,Under Construction,1220.264317180617,0,0,0,0,0,2,0
flat,90.0,0.7,1300.0,2,2,3,13.0,New Property,1145.374449339207,1,0,0,0,0,2,15
flat,108.0,3.95,2343.0,4,5,3,25.0,Relatively New,2343.0,0,0,0,0,0,2,0
flat,62.0,0.9,639.0,1,1,0,0.0,Relatively New,639.0,0,0,0,0,0,2,0
flat,102.0,1.05,915.0,2,2,2,0.0,Under Construction,1084.1232227488151,0,0,0,0,0,2,49
flat,33.0,2.2,2100.0,3,3,3,12.0,New Property,1850.2202643171809,0,1,0,0,0,0,49
flat,89.0,1.01,1103.0,2,2,2,4.0,Under Construction,1306.872037914692,1,0,0,0,0,2,38
flat,79.0,1.85,2150.0,3,4,3,11.0,New Property,1894.273127753304,0,1,0,0,0,2,49
flat,89.0,0.86,1103.0,2,3,3,4.0,Under Construction,971.806167400881,0,0,0,0,0,2,0
flat,102.0,1.85,2025.0,3,3,3,0.0,Relatively New,2399.2890995260664,0,1,0,0,0,0,95
flat,113.0,2.85,2217.0,3,3,3,10.0,New Property,2217.0,0,1,0,0,0,2,72
flat,36.0,0.42,531.0,2,2,1,3.0,Relatively New,629.1469194312797,0,0,0,0,0,2,0
flat,65.0,6.15,3355.0,3,4,2,20.0,Relatively New,3355.0,0,0,0,0,0,2,0
flat,48.0,6.25,2572.0,3,5,3,5.0,Moderately Old,3412.3222748815165,0,1,0,0,0,0,49
flat,37.0,0.42,750.0,2,2,2,4.0,Relatively New,888.6255924170616,0,0,0,0,0,2,42
flat,3.0,1.35,1056.0,2,2,0,4.0,Under Construction,1056.0,0,0,0,0,0,2,0
flat,1.0,1.6,5346.0,2,2,2,1.0,Relatively New,78.19905213270142,0,0,0,0,0,2,0
flat,43.0,3.25,3200.0,4,4,3,12.0,Moderately Old,3200.0,0,0,1,0,0,0,119
flat,88.0,0.45,626.0,2,2,1,8.0,New Property,741.1021670616115,0,0,0,0,0,2,14
flat,92.0,0.85,1300.0,3,2,2,20.0,Relatively New,1300.0,0,0,0,0,0,2,0
flat,90.0,0.75,1300.0,2,2,3,8.0,Relatively New,1540.2843601895736,0,0,0,0,0,2,0
flat,68.0,0.82,1180.0,2,2,3,21.0,Under Construction,1039.647577092511,0,0,0,0,1,2,72
flat,109.0,1.8,2030.0,3,3,2,0.0,Moderately Old,1.9790441176470588,0,1,0,0,0,2,83
flat,48.0,0.3,555.0,2,2,2,6.0,New Property,1.9790441176470588,0,0,0,0,0,2,109
flat,37.0,0.78,1365.0,2,2,3,1.0,Moderately Old,1068.1,0,0,0,0,0,0,103
flat,43.0,2.0,1320.0,3,3,2,1.0,Old Property,1563.9810426540284,0,1,0,0,0,1,15
flat,48.0,0.74,1194.0,2,2,3,12.0,New Property,1433.6492890995262,0,0,0,0,0,2,67
flat,106.0,3.2,2000.0,3,3,3,6.0,Under Construction,2372.037914691943,0,1,0,0,0,2,49
flat,82.0,1.3,2038.0,4,4,3,1.0,Relatively New,1726.8722466960353,0,1,0,0,0,2,130
flat,5.0,0.25,700.0,2,2,2,2.0,Relatively New,829.3838862559242,0,0,0,0,0,2,0
flat,48.0,0.95,1211.0,3,2,3,1.0,Relatively New,1210.723472,0,0,0,0,0,2,46
flat,90.0,1.99,2727.0,4,4,3,9.0,Relatively New,3231.042654028436,0,1,1,0,0,0,102
flat,106.0,1.05,1385.0,2,2,2,5.0,New Property,1640.9952606635072,0,0,0,0,0,2,97
flat,85.0,1.83,1829.0,3,3,3,18.0,Under Construction,2167.061611374408,0,0,0,0,0,2,110
flat,82.0,2.25,2100.0,3,3,3,29.0,Relatively New,2488.1516587677725,0,1,0,0,0,1,72
flat,65.0,2.8,1650.0,3,3,3,3.0,Relatively New,1650.0,1,1,0,0,0,0,38
flat,28.0,1.6,1100.0,2,2,2,3.0,Relatively New,1303.3175355450237,0,0,0,0,0,2,52
flat,79.0,0.83,1530.0,2,2,3,5.0,New Property,1812.7962085308056,1,0,0,0,0,1,49
flat,48.0,0.83,1120.0,3,2,2,1.0,New Property,1327.0142180094788,0,0,0,0,0,2,16
flat,10.0,0.8,1250.0,2,3,2,9.0,New Property,1481.042654028436,0,0,0,0,0,2,46
flat,1.0,1.25,2651.0,4,4,3,6.0,Moderately Old,3140.995260663507,0,0,0,0,0,0,44
