sector,price,bedRoom,bathroom,balcony,floorNum,built_up_area,study room,servant room,pooja room,store room,others,furnishing_type,property_type_house,agePossession_New Property,agePossession_Old Property,agePossession_Relatively New,agePossession_Under Construction,luxury_score_Low,luxury_score_Medium
7.0,0.45,2,2,1,4.0,1066.350710900474,0,0,0,0,0,0,False,False,False,True,False,True,False
5.0,0.5,2,2,1,1.0,770.1421800947868,0,0,0,0,0,1,False,False,True,False,False,True,False
48.0,0.4,2,2,3,12.0,704.9763033175356,0,0,0,0,0,0,False,True,False,False,False,True,False
61.0,1.47,2,2,2,2.0,1421.8009478672986,1,0,0,0,0,0,False,False,False,False,True,False,True
92.0,0.7,2,2,3,5.0,1185.022026431718,1,0,0,0,0,0,False,False,False,False,True,True,False
36.0,0.41,2,2,3,3.0,654.0,0,0,0,0,0,0,False,False,False,True,False,True,False
102.0,2.0,3,3,3,5.0,1321.5859030837005,0,0,0,0,0,0,False,True,False,False,False,True,False
104.0,1.8,3,4,3,14.0,2713.270142180095,0,0,0,0,0,0,False,True,False,False,False,False,True
88.0,1.1,2,4,3,2.0,1350.0,1,0,0,0,0,0,False,False,False,False,True,False,True
78.0,4.75,3,3,2,31.0,2813.0,0,1,0,0,0,0,False,False,False,False,True,False,True
81.0,0.96,2,2,2,1.0,1273.696682464455,0,0,0,0,0,0,False,False,False,False,True,True,False
48.0,0.29,2,2,1,4.0,614.9289099526067,0,0,0,0,0,0,False,False,False,True,False,True,False
79.0,1.35,3,3,3,4.0,2304.5023696682465,0,0,0,0,0,0,False,False,False,True,False,True,False
33.0,0.95,2,2,3,3.0,1220.264317180617,0,0,0,0,0,0,False,False,False,False,True,True,False
90.0,0.7,2,2,3,13.0,1145.374449339207,1,0,0,0,0,0,False,True,False,False,False,True,False
108.0,3.95,4,5,3,25.0,2343.0,0,0,0,0,0,0,False,False,False,True,False,True,False
62.0,0.9,1,1,0,0.0,639.0,0,0,0,0,0,0,False,False,False,True,False,True,False
102.0,1.05,2,2,2,0.0,1084.1232227488151,0,0,0,0,0,0,False,False,False,False,True,True,False
33.0,2.2,3,3,3,12.0,1850.2202643171809,0,1,0,0,0,1,False,True,False,False,False,True,False
89.0,1.01,2,2,2,4.0,1306.872037914692,1,0,0,0,0,0,False,False,False,False,True,True,False
79.0,1.85,3,4,3,11.0,1894.273127753304,0,1,0,0,0,0,False,True,False,False,False,True,False
89.0,0.86,2,3,3,4.0,971.806167400881,0,0,0,0,0,0,False,False,False,False,True,True,False
102.0,1.85,3,3,3,0.0,2399.2890995260664,0,1,0,0,0,1,False,False,False,True,False,False,True
113.0,2.85,3,3,3,10.0,2217.0,0,1,0,0,0,0,False,True,False,False,False,False,True
36.0,0.42,2,2,1,3.0,629.1469194312797,0,0,0,0,0,0,False,False,False,True,False,True,False
65.0,6.15,3,4,2,20.0,3355.0,0,0,0,0,0,0,False,False,False,True,False,True,False
48.0,6.25,3,5,3,5.0,3412.3222748815165,0,1,0,0,0,1,False,False,False,False,False,True,False
37.0,0.42,2,2,2,4.0,888.6255924170616,0,0,0,0,0,0,False,False,False,True,False,True,False
3.0,1.35,2,2,0,4.0,1056.0,0,0,0,0,0,0,False,False,False,False,True,True,False
1.0,1.6,2,2,2,1.0,78.19905213270142,0,0,0,0,0,0,False,False,False,True,False,True,False
43.0,3.25,4,4,3,12.0,3200.0,0,0,1,0,0,1,False,False,False,False,False,False,True
88.0,0.45,2,2,1,8.0,741.1021670616115,0,0,0,0,0,0,False,True,False,False,False,True,False
92.0,0.85,3,2,2,20.0,1300.0,0,0,0,0,0,0,False,False,False,True,False,True,False
90.0,0.75,2,2,3,8.0,1540.2843601895736,0,0,0,0,0,0,False,False,False,True,False,True,False
68.0,0.82,2,2,3,21.0,1039.647577092511,0,0,0,0,1,0,False,False,False,False,True,False,True
109.0,1.8,3,3,2,0.0,1.9790441176470588,0,1,0,0,0,0,False,False,False,False,False,False,True
48.0,0.3,2,2,2,6.0,1.9790441176470588,0,0,0,0,0,0,False,True,False,False,False,False,True
37.0,0.78,2,2,3,1.0,1068.1,0,0,0,0,0,1,False,False,False,False,False,False,True
43.0,2.0,3,3,2,1.0,1563.9810426540284,0,1,0,0,0,2,False,False,True,False,False,True,False
48.0,0.74,2,2,3,12.0,1433.6492890995262,0,0,0,0,0,0,False,True,False,False,False,False,True
106.0,3.2,3,3,3,6.0,2372.037914691943,0,1,0,0,0,0,False,False,False,False,True,True,False
82.0,1.3,4,4,3,1.0,1726.8722466960353,0,1,0,0,0,0,False,False,False,True,False,False,True
5.0,0.25,2,2,2,2.0,829.3838862559242,0,0,0,0,0,0,False,False,False,True,False,True,False
48.0,0.95,3,2,3,1.0,1210.723472,0,0,0,0,0,0,False,False,False,True,False,True,False
90.0,1.99,4,4,3,9.0,3231.042654028436,0,1,1,0,0,1,False,False,False,True,False,False,True
106.0,1.05,2,2,2,5.0,1640.9952606635072,0,0,0,0,0,0,False,True,False,False,False,False,True
85.0,1.83,3,3,3,18.0,2167.061611374408,0,0,0,0,0,0,False,False,False,False,True,False,True
82.0,2.25,3,3,3,29.0,2488.1516587677725,0,1,0,0,0,2,False,False,False,True,False,False,True
65.0,2.8,3,3,3,3.0,1650.0,1,1,0,0,0,1,False,False,False,True,False,True,False
28.0,1.6,2,2,2,3.0,1303.3175355450237,0,0,0,0,0,0,False,False,False,True,False,False,True
79.0,0.83,2,2,3,5.0,1812.7962085308056,1,0,0,0,0,2,False,True,False,False,False,True,False
48.0,0.83,3,2,2,1.0,1327.0142180094788,0,0,0,0,0,0,False,True,False,False,False,True,False
10.0,0.8,2,3,2,9.0,1481.042654028436,0,0,0,0,0,0,False,True,False,False,False,True,False
1.0,1.25,4,4,3,6.0,3140.995260663507,0,0,0,0,0,1,False,False,False,False,False,True,False
21.0,0.23,1,1,1,2.0,545.0236966824644,0,0,0,0,0,0,False,False,False,True,False,True,False
84.0,0.3,1,1,1,14.0,533.175355450237,0,0,0,0,0,1,False,True,False,False,False,True,False
33.0,1.55,3,4,1,1.0,1383.259911894273,0,1,0,0,0,0,False,False,False,True,False,True,False
71.0,0.79,2,2,2,8.0,1055.5066079295154,0,0,0,0,1,0,False,False,False,True,False,True,False
7.0,0.5,2,2,2,2.0,1.9790441176470588,0,0,0,1,0,0,False,False,False,False,False,True,False
48.0,1.01,2,2,3,12.0,1.9790441176470588,1,0,0,0,0,0,False,False,False,False,True,False,True
92.0,0.95,4,5,3,4.0,1671.36563876652,0,1,0,0,0,0,False,False,False,False,False,True,False
77.0,0.99,2,2,2,1.0,1.9790441176470588,0,0,0,0,0,0,False,False,False,True,False,False,True
37.0,1.1,3,3,3,7.0,1519.8237885462554,0,0,0,0,0,0,False,False,False,False,True,False,True
67.0,1.9,4,4,3,3.0,1938.3259911894272,0,0,0,0,0,1,False,True,False,False,False,False,True
37.0,1.0,3,3,3,5.0,1651.9823788546255,0,0,0,0,0,0,False,False,False,False,True,False,True
57.0,2.5,3,3,3,9.0,1982.3788546255507,0,0,0,0,0,0,False,False,False,False,False,True,False
3.0,1.1,2,2,2,14.0,930.9113867841407,0,0,0,0,0,0,False,False,False,False,True,True,False
95.0,0.29,2,2,2,14.0,493.3920704845815,0,0,0,0,0,0,False,False,False,True,False,False,True
95.0,0.55,2,2,3,15.0,990.0,0,0,0,0,0,0,False,False,False,True,False,True,False
92.0,0.65,3,2,3,6.0,1207.0484581497797,0,0,0,0,0,0,False,False,False,True,False,True,False
48.0,0.5,2,2,2,6.0,629.7646706161138,0,0,0,0,0,0,False,True,False,False,False,True,False
99.0,0.32,2,2,1,2.0,1.9790441176470588,0,0,0,0,0,0,False,True,False,False,False,True,False
103.0,0.93,2,3,3,3.0,1720.3791469194314,0,1,0,0,0,1,False,False,False,True,False,False,True
89.0,1.2,3,3,2,2.0,1686.0189573459716,0,0,0,0,0,0,False,True,False,False,False,True,False
48.0,0.3,2,2,2,4.0,758.2938388625593,0,0,0,0,0,0,False,False,False,True,False,True,False
48.0,0.56,2,2,3,3.0,973.9336492890995,0,0,0,0,0,0,False,True,False,False,False,False,True
49.0,2.7,3,4,3,6.0,2159.0,0,0,0,0,0,0,False,False,False,False,False,True,False
90.0,1.0,3,4,3,8.0,1718.0616740088103,0,1,0,0,0,0,False,True,False,False,False,False,True
30.0,1.45,3,2,2,2.0,1300.0,0,0,0,0,0,2,False,False,True,False,False,False,True
89.0,1.25,3,3,0,4.0,1423.0,0,0,0,0,0,0,False,True,False,False,False,True,False
66.0,4.5,5,5,3,11.0,3233.480176211454,0,1,0,0,0,0,False,True,False,False,False,False,True
15.0,0.64,2,2,1,1.0,881.0572687224669,0,0,0,0,0,0,False,True,False,False,False,True,False
48.0,0.28,2,2,1,11.0,743.0,0,0,0,0,0,0,False,False,False,True,False,True,False
61.0,3.87,3,4,3,21.0,2250.0,0,1,0,0,0,0,False,False,False,False,True,False,True
109.0,1.38,3,3,1,4.0,2579.383886255924,0,0,0,0,0,0,False,False,False,False,False,True,False
4.0,0.43,2,2,1,2.0,770.1421800947868,0,0,0,0,0,0,False,False,False,True,False,True,False
1.0,0.28,2,1,1,2.0,1066.350710900474,0,0,0,0,1,0,False,False,False,True,False,True,False
37.0,1.1,2,2,2,4.0,1324.6445497630332,0,0,0,0,0,0,False,False,False,True,False,True,False
65.0,2.0,2,2,2,32.0,1433.0,0,0,0,0,0,0,False,False,False,True,False,True,False
48.0,0.9,3,2,2,2.0,986.784140969163,0,0,0,0,0,0,False,False,False,False,True,False,True
48.0,0.9,3,2,0,2.0,1120.0,0,0,0,0,0,0,False,False,False,False,True,True,False
33.0,1.75,3,3,0,2.0,1996.0,0,0,0,0,0,0,False,False,False,False,True,True,False
68.0,0.93,2,2,2,11.0,1279.6208530805688,0,0,0,0,0,0,False,True,False,False,False,True,False
90.0,1.8,4,4,3,23.0,2402.643171806167,0,0,0,0,0,0,False,False,False,False,False,True,False
33.0,2.1,3,3,2,6.0,1576.2114537444934,0,0,0,0,0,0,False,False,False,False,True,True,False
22.0,2.0,2,2,2,9.0,1635.0710900473937,0,0,0,0,0,0,False,False,False,True,False,True,False
63.0,2.0,3,3,2,1.0,1540.0,0,0,0,0,0,0,False,False,False,False,True,True,False
88.0,1.29,3,3,3,5.0,1.9790441176470588,1,0,0,0,1,0,False,True,False,False,False,False,True
65.0,2.85,3,3,3,43.0,1828.0,0,0,0,0,0,1,False,False,False,False,True,False,True
79.0,1.1,3,3,3,1.0,2310.4265402843603,0,0,0,0,0,1,False,False,False,True,False,False,True
61.0,1.65,2,2,2,1.0,1421.8009478672986,1,0,0,0,0,0,False,False,False,False,True,True,False
48.0,0.24,1,1,2,1.0,383.88625592417065,0,0,0,0,0,0,False,True,False,False,False,False,True
77.0,2.1,3,4,3,11.0,1600.0,0,1,0,0,0,1,False,True,False,False,False,False,True
33.0,1.9,3,3,3,14.0,2285.5450236966826,0,1,0,0,0,0,False,True,False,False,False,False,True
79.0,1.1,2,2,3,9.0,78.41409691629956,0,0,0,0,0,0,False,True,False,False,False,True,False
95.0,0.32,2,2,1,8.0,1.9790441176470588,0,0,0,0,1,2,False,False,False,True,False,True,False
109.0,1.7,1,1,2,9.0,965.0,0,0,0,0,0,0,False,False,False,True,False,True,False
99.0,0.32,2,2,2,2.0,1.9790441176470588,0,0,0,0,0,0,False,True,False,False,False,False,True
86.0,0.45,2,2,1,4.0,688.8130793838861,0,0,0,0,0,0,False,False,False,False,True,False,True
78.0,1.2,1,2,2,32.0,1.9790441176470588,0,0,0,0,0,0,False,False,False,False,True,True,False
65.0,2.1,2,2,2,43.0,1154.1850220264316,0,0,0,0,0,0,False,True,False,False,False,False,True
4.0,0.42,2,2,1,3.0,888.6255924170616,0,0,0,0,0,1,False,False,False,True,False,True,False
33.0,1.55,3,2,3,8.0,1844.78672985782,0,0,0,0,0,0,False,True,False,False,False,True,False
102.0,1.3,3,3,2,3.0,1268.7224669603524,0,0,0,0,0,0,False,False,False,False,True,True,False
113.0,2.75,4,4,3,20.0,3077.0142180094786,1,1,1,0,0,2,False,False,False,False,True,False,True
103.0,1.25,3,3,3,2.0,1.9790441176470588,0,0,1,0,0,0,False,True,False,False,False,False,True
63.0,0.42,3,2,2,1.0,671.8009478672986,0,0,0,0,0,0,False,False,False,False,True,True,False
48.0,0.4,2,2,1,4.0,1.9790441176470588,0,0,0,0,0,0,False,True,False,False,False,True,False
48.0,0.34,2,2,1,0.0,745.260663507109,0,0,0,0,0,0,False,True,False,False,False,True,False
89.0,1.25,3,3,3,3.0,1253.7444933920706,1,0,0,0,1,0,False,True,False,False,False,True,False
77.0,1.5,3,3,3,4.0,1.9790441176470588,0,0,0,0,0,1,False,False,False,True,False,False,True
102.0,1.3,3,3,2,3.0,1233.4801762114537,0,0,0,0,0,0,False,False,False,False,True,True,False
99.0,1.6,3,3,3,6.0,1762.1145374449338,0,0,0,0,0,0,False,False,False,False,True,True,False
113.0,1.5,2,2,2,13.0,1511.8483412322275,0,0,0,0,0,0,False,True,False,False,False,True,False
113.0,1.5,2,2,2,13.0,1124.229074889868,0,0,0,0,0,0,False,True,False,False,False,False,True
104.0,0.9,2,2,0,16.0,1259.0,0,0,0,0,0,0,False,False,False,True,False,True,False
52.0,1.5,4,4,3,3.0,1444.9339207048458,0,0,0,0,0,0,False,False,True,False,False,False,True
67.0,0.8,1,1,0,0.0,610.0,0,0,0,0,0,0,False,False,False,True,False,True,False
86.0,1.25,3,2,1,11.0,1488.9867841409691,0,0,0,0,0,0,False,True,False,False,False,True,False
48.0,0.26,2,2,1,2.0,570.8437962085309,0,0,0,0,0,0,False,False,False,True,False,True,False
